5088378,0
5282722,1
5264602,2
5268083,3
5271565,4
5476708,5
5678312,6
5242713,7
4605693,8
4612952,9
4828892,10
5268152,11
5052150,12
4832548,13
4828947,14
5048549,15
5041171,16
5465671,17
5688870,18
6128066,19
5699841,20
5494941,21
5282659,22
4865179,23
4224378,24
4188135,25
3957673,26
3954132,27
4170192,28
4173911,29
3749171,30
3734595,31
3745394,32
3968715,33
4199114,34
4202775,35
4202837,36
4426097,37
4861518,38
4839860,39
5048540,40
5268142,41
5264486,42
5696609,43
6117871,44
6553472,45
6121296,46
18865239,47
17785061,48
17353061,49
16924601,50
16921061,51
16705001,52
17137060,53
17137000,54
17569119,55
4609119,56
5041237,57
5689292,58
5476947,59
5271922,60
4850778,61
4638437,62
4217237,63
4001177,64
3774257,65
3547275,66
3741614,67
2218631,68
2434691,69
2434632,70
2870053,71
2869933,72
2869932,73
3305713,74
3309493,75
3741433,76
3741554,77
3525553,78
3738133,79
3738253,80
3958273,81
4401253,82
4401013,83
108725174,84
109578375,85
6765855,86
7198034,87
7630092,88
7410372,89
6546311,90
5034312,91
4609634,92
4181293,93
4616893,94
4188493,95
3752773,96
3738135,97
3522015,98
3089955,99
3302415,100
3086537,101
2877798,102
2885058,103
3309797,104
3514934,105
3298933,106
3529332,107
3532810,108
3522069,109
3947049,110
2214968,111
1783028,112
1358528,113
105038528,114
104822408,115
104606168,116
105041828,117
106341489,118
107212870,119
107864471,120
107648472,121
107212872,122
107418552,123
107865192,124
108080893,125
108933733,126
109790413,127
6110413,128
6758292,129
6330130,130
5034251,131
4170432,132
4390212,133
3749711,134
3537192,135
3529572,136
3093672,137
3093551,138
5256976,139
5041096,140
4828936,141
4620317,142
4634777,143
4854376,144
4634894,145
4631655,146
5276235,147
31405034,148
30760513,149
30544634,150
30749893,151
30958693,152
30958631,153
30951430,154
5251031,155
31171031,156
5466852,157
5466794,158
5038515,159
4826235,160
4826294,161
5042173,162
5258114,163
5282600,164
4854200,165
4638320,166
4634780,167
5077638,168
5293757,169
30983475,170
30972854,171
31628115,172
31851435,173
31848015,174
31419672,175
30555732,176
30123731,177
30127270,178
30134350,179
30137951,180
3994812,181
29698933,182
29486353,183
29706013,184
